sim_nr,wall_setup,bollard_type,particles,time_s,total_exited
64,wallie1,void,1500,0,0
64,wallie1,void,1500,1,0
64,wallie1,void,1500,2,0
64,wallie1,void,1500,3,0
64,wallie1,void,1500,4,0
64,wallie1,void,1500,5,0
64,wallie1,void,1500,6,0
64,wallie1,void,1500,7,0
64,wallie1,void,1500,8,0
64,wallie1,void,1500,9,0
64,wallie1,void,1500,10,0
64,wallie1,void,1500,11,0
64,wallie1,void,1500,12,0
64,wallie1,void,1500,13,0
64,wallie1,void,1500,14,0
64,wallie1,void,1500,15,9
64,wallie1,void,1500,16,32
64,wallie1,void,1500,17,67
64,wallie1,void,1500,18,109
64,wallie1,void,1500,19,161
64,wallie1,void,1500,20,218
64,wallie1,void,1500,21,279
64,wallie1,void,1500,22,341
64,wallie1,void,1500,23,409
64,wallie1,void,1500,24,477
64,wallie1,void,1500,25,545
64,wallie1,void,1500,26,614
64,wallie1,void,1500,27,680
64,wallie1,void,1500,28,750
64,wallie1,void,1500,29,815
64,wallie1,void,1500,30,878
64,wallie1,void,1500,31,940
64,wallie1,void,1500,32,997
64,wallie1,void,1500,33,1053
64,wallie1,void,1500,34,1105
64,wallie1,void,1500,35,1155
64,wallie1,void,1500,36,1200
64,wallie1,void,1500,37,1241
64,wallie1,void,1500,38,1281
64,wallie1,void,1500,39,1319
64,wallie1,void,1500,40,1351
64,wallie1,void,1500,41,1379
64,wallie1,void,1500,42,1403
64,wallie1,void,1500,43,1427
64,wallie1,void,1500,44,1446
64,wallie1,void,1500,45,1460
64,wallie1,void,1500,46,1474
64,wallie1,void,1500,47,1485
64,wallie1,void,1500,48,1491
64,wallie1,void,1500,49,1496
65,wallie1,close,1500,0,0
65,wallie1,close,1500,1,0
65,wallie1,close,1500,2,0
65,wallie1,close,1500,3,0
65,wallie1,close,1500,4,0
65,wallie1,close,1500,5,0
65,wallie1,close,1500,6,0
65,wallie1,close,1500,7,0
65,wallie1,close,1500,8,0
65,wallie1,close,1500,9,0
65,wallie1,close,1500,10,0
